"destiny_code","destiny","year","Siria","Afganistán","Iraq","Rusia","Serbia","Somalia","Pakistán","Nigeria","Irán","Kosovo","max","min","dif","win","total_country"
"FI","Finlandia","2011",NA,0.448276,0.549451,0.392857,NA,0.454545,NA,0.142857,0.454545,0,0.549451,0,0.549451,"Iraq",15830
"FI","Finlandia","2012",0.866667,0.630435,0.605769,0.393443,0,0.553191,NA,0.333333,0.62069,0,0.866667,0,0.866667,"Siria",15830
"FI","Finlandia","2013",0.722222,0.647059,0.670659,0.265306,NA,0.727273,NA,0.125,0.448276,0,0.727273,0,0.727273,"Somalia",15830
"FI","Finlandia","2014",NA,0.684211,0.735632,0.40625,0,0.842105,NA,0.318182,0.615385,0,0.842105,0,0.842105,"Somalia",15830
"FR","Francia","2008",0.2,0.295455,0.835821,0.208015,0.0646766,0.545455,0.0555556,0.0253165,0.307692,NA,0.835821,0.0253165,0.810504,"Iraq",334710
"FR","Francia","2009",0.166667,0.366197,0.816514,0.149877,0.0406504,0.769231,0.0350877,0.028169,0.409091,0.0408163,0.816514,0.028169,0.788345,"Iraq",334710
"FR","Francia","2010",0.227273,0.340659,0.727273,0.139887,0.072,0.703704,0.0277778,0.0517241,0.698113,0.0301724,0.727273,0.0277778,0.699495,"Iraq",334710
"FR","Francia","2011",0.636364,0.375,0.638298,0.126143,0.0540541,0.387597,0.0172414,0.0441176,0.648649,0.0294551,0.648649,0.0172414,0.631407,"Irán",334710
"FR","Francia","2012",0.894737,0.459677,0.72093,0.184995,0.191358,0.240876,0.0218069,0.085,0.565217,0.0838323,0.894737,0.0218069,0.87293,"Siria",334710
"FR","Francia","2013",0.955823,0.664835,0.689655,0.258702,0.16568,0.15534,0.0481283,0.0777202,0.545455,0.0464326,0.955823,0.0464326,0.909391,"Siria",334710
"FR","Francia","2014",0.958333,0.827586,0.942623,0.243172,0.326389,0.232,0.0797721,0.0921659,0.675676,0.0970962,0.958333,0.0797721,0.878561,"Siria",334710
"HR","Croacia","2012",1,0,NA,NA,NA,0,0,NA,NA,NA,1,0,1,"Siria",410
"HR","Croacia","2013",1,0,NA,NA,NA,0,0,NA,NA,NA,1,0,1,"Siria",410
"HR","Croacia","2014",NA,0,NA,0,NA,0.5,0,0.333333,NA,0,0.5,0,0.5,"Somalia",410
"HU","Hungría","2008",0,0.615385,0.636364,0,0.0625,1,0,0,NA,NA,1,0,1,"Somalia",13420
"HU","Hungría","2009",0,0.451613,0.666667,0,0,0.913043,0.25,0,0.666667,0,0.913043,0,0.913043,"Somalia",13420
"HU","Hungría","2010",0,0.346667,0.333333,0,0,1,0,0,0.181818,0,1,0,1,"Somalia",13420
"HU","Hungría","2011",0,0.240506,0.333333,NA,NA,0,0,0,0.333333,0,0.333333,0,0.333333,"Iraq",13420
"HU","Hungría","2012",NA,0.352273,0,NA,NA,0.9,0.107143,0,0,0,0.9,0,0.9,"Somalia",13420
"HU","Hungría","2013",0.73913,0.159091,NA,NA,NA,NA,0.00558659,0,NA,0,0.73913,0,0.73913,"Siria",13420
"HU","Hungría","2014",0.74359,0.225806,0.75,0,0,0.928571,0,0,0,0.0041958,0.928571,0,0.928571,"Somalia",13420
"IE","Irlanda","2008",0,0.0555556,0.44,0,0,0.266667,0.0487805,0,0.0714286,NA,0.44,0,0.44,"Iraq",11060
"IE","Irlanda","2009",0,0.111111,0.148148,0,NA,0.1,0.0172414,0,0,0,0.148148,0,0.148148,"Iraq",11060
"IE","Irlanda","2010",NA,0,0,0,NA,0.0833333,0,0,0,0,0.0833333,0,0.0833333,"Somalia",11060
"IE","Irlanda","2011",NA,0.0714286,0,0,NA,0,0.0714286,0,0.166667,0,0.166667,0,0.166667,"Irán",11060
"IE","Irlanda","2012",1,0.142857,0.666667,NA,NA,1,0.0769231,0,0,NA,1,0,1,"Siria",11060
"IE","Irlanda","2013",1,0.2,0.666667,0,NA,0.666667,0.0625,0,1,NA,1,0,1,"Siria",11060
"IE","Irlanda","2014",1,0.818182,0.9,NA,NA,1,0.294118,0,1,0,1,0,1,"Siria",11060
"IT","Italia","2008",0.833333,0.640244,0.884211,1,0.741935,0.960598,0.198413,0.103448,0.764706,NA,1,0.103448,0.896552,"Rusia",162895
"IT","Italia","2009",0.764706,0.89172,0.786517,0.333333,0.464286,0.948919,0.24898,0.116007,0.846154,0.288462,0.948919,0.116007,0.832912,"Somalia",162895
"IT","Italia","2010",0.5,0.911565,0.816901,0.333333,0.0776699,0.903226,0.391608,0.114754,0.886364,0.215385,0.911565,0.0776699,0.833895,"Afganistán",162895
"IT","Italia","2011",0.541667,0.705645,0.661538,0.625,0.372093,0.950704,0.351744,0.142235,0.7,0.422222,0.950704,0.142235,0.808469,"Somalia",162895
"IT","Italia","2012",0.926829,0.936585,0.924528,1,0.714286,0.977901,0.566586,0.825371,0.965517,0.5,1,0.5,0.5,"Rusia",162895
"IT","Italia","2013",0.509554,0.906516,0.725806,0,0.490196,0.963415,0.465021,0.410891,0.814815,0.52381,0.963415,0,0.963415,"Somalia",162895
"IT","Italia","2014",0.636364,0.954183,0.915584,0.75,0.4,0.944444,0.516649,0.41537,0.853333,0.473684,0.954183,0.4,0.554183,"Afganistán",162895
"LT","Lituania","2008",NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,0.9,0.9,0,"Rusia",1280
"LT","Lituania","2009",NA,NA,NA,0.294118,NA,NA,0,NA,NA,NA,0.294118,0,0.294118,"Rusia",1280
"LT","Lituania","2010",NA,0.5,NA,0,NA,NA,NA,NA,NA,NA,0.5,0,0.5,"Afganistán",1280
"LT","Lituania","2011",NA,0.5,NA,0,NA,NA,NA,NA,NA,NA,0.5,0,0.5,"Afganistán",1280
"LT","Lituania","2012",NA,0.8,NA,0,NA,NA,NA,NA,NA,NA,0.8,0,0.8,"Afganistán",1280
"LT","Lituania","2013",1,1,NA,0,NA,NA,NA,NA,NA,NA,1,0,1,"Siria",1280
"LT","Lituania","2014",NA,1,NA,0.333333,NA,NA,0,0,NA,NA,1,0,1,"Afganistán",1280
"LU","Luxemburgo","2008",NA,1,NA,0,0.315789,NA,NA,0.6,0.333333,NA,1,0,1,"Afganistán",5540
"LU","Luxemburgo","2009",NA,NA,0.909091,0.428571,0,0,NA,0,0.333333,0.030303,0.909091,0,0.909091,"Iraq",5540
"LU","Luxemburgo","2010",NA,0,0.125,0,0,0.5,NA,NA,0.285714,0,0.5,0,0.5,"Somalia",5540
"LU","Luxemburgo","2011",0,0,0.333333,0,0,0,NA,0,0,0.111111,0.333333,0,0.333333,"Iraq",5540
"LU","Luxemburgo","2012",0,0,0.416667,0,0,0,NA,NA,0.666667,0,0.666667,0,0.666667,"Irán",5540
"LU","Luxemburgo","2013",0.5,0.571429,0.25,0,0,0,NA,0,0.636364,0,0.636364,0,0.636364,"Irán",5540
"LU","Luxemburgo","2014",1,NA,0.333333,NA,0,0.333333,NA,0,NA,0.047619,1,0,1,"Siria",5540
"LV","Letonia","2009",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"Siria",310
"LV","Letonia","2010",NA,0.666667,NA,NA,NA,NA,NA,NA,NA,NA,0.666667,0.666667,0,"Afganistán",310
"LV","Letonia","2011",NA,0.5,NA,0,NA,NA,NA,NA,NA,NA,0.5,0,0.5,"Afganistán",310
"LV","Letonia","2012",1,0,NA,0,NA,NA,NA,NA,0.5,NA,1,0,1,"Siria",310
"LV","Letonia","2013",1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,"Siria",310
"LV","Letonia","2014",1,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,1,"Siria",310
"MT","Malta","2008",NA,NA,NA,NA,NA,0.977974,NA,0,NA,NA,0.977974,0,0.977974,"Somalia",12005
"MT","Malta","2009",NA,NA,0,NA,NA,0.926282,NA,0,NA,NA,0.926282,0,0.926282,"Somalia",12005
"MT","Malta","2010",0.666667,NA,0,NA,NA,1,0,0,NA,NA,1,0,1,"Somalia",12005
"MT","Malta","2011",1,NA,NA,NA,NA,0.987805,0.75,0,NA,NA,1,0,1,"Siria",12005
"MT","Malta","2012",1,NA,NA,NA,NA,0.9819,0,0.111111,NA,NA,1,0,1,"Siria",12005
"MT","Malta","2013",1,NA,NA,NA,NA,0.846154,0,0.166667,NA,NA,1,0,1,"Siria",12005
"MT","Malta","2014",0.986301,NA,NA,NA,NA,0.814286,0,0.0714286,1,NA,1,0,1,"Irán",12005
"NL","Holanda","2008",0.142857,0.388235,0.671192,0.217391,0,0.64488,0,0.0952381,0.43662,NA,0.671192,0,0.671192,"Iraq",104365
"NL","Holanda","2009",0.210526,0.287879,0.412027,0.172414,0,0.637573,0,0.0967742,0.429907,0.2,0.637573,0,0.637573,"Somalia",104365
"NL","Holanda","2010",0.307692,0.349869,0.544643,0.0512821,0,0.655075,0.214286,0.0666667,0.512048,0,0.655075,0,0.655075,"Somalia",104365
"NL","Holanda","2011",0.235294,0.422,0.545055,0.0526316,0,0.635496,0.3,0.0882353,0.464912,0,0.635496,0,0.635496,"Somalia",104365
"NL","Holanda","2012",0.92126,0.344,0.640212,0.0359281,0,0.595611,0.482759,0.0714286,0.422764,0,0.92126,0,0.92126,"Siria",104365
"NL","Holanda","2013",0.851385,0.459259,0.469945,0.101695,0,0.708333,0.2,0.107143,0.555556,0,0.851385,0,0.851385,"Siria",104365
"NL","Holanda","2014",0.913518,0.502994,0.424837,0.171429,0,0.582609,0.25,0.236842,0.452174,0,0.913518,0,0.913518,"Siria",104365
"PL","Polonia","2008",NA,0,1,0.70118,NA,1,0,0,NA,NA,1,0,1,"Iraq",25745
"PL","Polonia","2009",0,1,0.8,0.530187,NA,NA,0,0,NA,NA,1,0,1,"Afganistán",25745
"PL","Polonia","2010",NA,0.5,0.666667,0.110526,NA,NA,0,0,NA,NA,0.666667,0,0.666667,"Iraq",25745
"PL","Polonia","2011",NA,0.25,0.8,0.140811,NA,0,0,0,0,NA,0.8,0,0.8,"Iraq",25745
"PL","Polonia","2012",1,0.166667,NA,0.260135,NA,NA,0,0,0,NA,1,0,1,"Siria",25745
